CD4533FFC0E1,D2B6503554D7,D7EE034361F8,DD697EA75B68,DF231643E227,E43355CA8B96,E6D9D20DD197,E8FD0B453DC4,F1307ECB3B90,F1EDAF28E08A,F69A86823B96,F8EE8B0847A4,FDAE5980F28C,EC72840D9AD3,E96AF2C858BA,E13B805C6CB0,FB2EE01C18CE
-77.448275862069,-85.25,-87.25,-84.0952380952381,-87.375,-90.7407407407407,-95,-93.5384615384615,-70.7857142857143,NaN,-80.25,-71.4861111111111,-84.8666666666667,-62.0909090909091,-93.6666666666667,-86.1724137931034,NaN
-78.2,-86.7894736842105,-88.2272727272727,-83.3,-83.5925925925926,-91.6,-94,-93.1176470588235,NaN,NaN,-79.3333333333333,-71.5490196078431,-84.56,-62.5869565217391,-93.8421052631579,-85.6363636363636,NaN
-77.1935483870968,-85.12,-87.3529411764706,-84.1176470588235,-85.4,-90.5333333333333,-95.5,-93.125,-70.6530612244898,NaN,-78.0512820512821,-71.4516129032258,-84.7567567567568,-62.1785714285714,-92.037037037037,-85.6206896551724,NaN
-78.054054054054,-87.05,-86.2926829268293,-83.2307692307692,-85.1538461538462,-90.40625,-95,-93.2727272727273,-70.5294117647059,NaN,-80.0571428571429,-71.6190476190476,-84.9545454545455,-61.1914893617021,-92.2121212121212,-85.7857142857143,NaN
-78.8620689655172,-87.45,-86.3571428571429,-84.0689655172414,-87.0285714285714,-91.3055555555556,-96,-93.275,-70.4,-94.2857142857143,-79.2826086956522,-71.728813559322,-85.7380952380952,-61.6666666666667,-92.3333333333333,-86.8076923076923,NaN
-75.75,-85.4444444444444,-87.0416666666667,-85,-84.1851851851852,-90.7777777777778,NaN,-93.0909090909091,-69.9130434782609,NaN,-78,-71.7428571428571,-85.9677419354839,NaN,-92.6190476190476,-85.4615384615385,NaN
-75.6410256410256,-86.7741935483871,-88.3333333333333,-82.4,-86.6923076923077,-91.75,-97,-93.125,-70.8936170212766,-95,-79.7714285714286,-71.925,-86.0222222222222,NaN,-93.3846153846154,-85.0769230769231,NaN
-77.2121212121212,-84.3529411764706,-86.3103448275862,-83.2,-85.9268292682927,-92.04,-95.5,-93.5,-70.5172413793103,-95,-79.9130434782609,-71.6851851851852,-86.1555555555556,NaN,-93.3846153846154,-87.3636363636364,NaN
-78.8541666666667,-85.925,-86.75,-82.53125,-86.3888888888889,-91.7,-95.6923076923077,-93.6875,-70.5945945945946,NaN,-79.4864864864865,-72.0340909090909,-85.8723404255319,NaN,-93.0689655172414,NaN,-96
-77.7586206896552,-87,-87.4242424242424,-81.8888888888889,-86.551724137931,-91.1071428571429,-95.5,-93.24,-70.5714285714286,-95.5,-81,-72.2173913043478,-85.6333333333333,NaN,-94.4705882352941,NaN,-97
-78.025641025641,-86.0333333333333,-86.2432432432432,NaN,-85.0238095238095,-91,-94.5,-94.0476190476191,-70.8620689655172,-94.5,-79.1944444444444,-72.1029411764706,-85.6216216216216,NaN,-93.5,NaN,-96.4
-75.92,-86.0833333333333,-85.972972972973,NaN,-83.8,-90.9047619047619,-96,-93.0555555555556,-70.9736842105263,-94.4,-79.0294117647059,-71.5806451612903,-86.3571428571429,NaN,-94.4,NaN,NaN
-77.8,-87.3076923076923,-85.1052631578947,NaN,-84.9130434782609,-91.9285714285714,-95,-93.9375,-70.8604651162791,NaN,-81.7428571428571,-71.7931034482759,-85.9285714285714,NaN,-94.8,NaN,-98
-78.7567567567568,-86.9523809523809,-86,NaN,-84.5818181818182,-91.8684210526316,-95.4,-93.8823529411765,-71.0535714285714,NaN,-79.6896551724138,-71.9625,-85.4651162790698,NaN,-94.8333333333333,NaN,-98
-79.1818181818182,-85.4583333333333,-84.72,NaN,-84.972972972973,-91.4444444444444,-94.8333333333333,-93.3125,-69.95,NaN,-78.9210526315789,-71.6545454545455,-85.8484848484848,NaN,-94.1,NaN,-95.5
-79.7727272727273,-86.2857142857143,-85.4418604651163,NaN,-84.2894736842105,-91.2,-95.6666666666667,-94.0384615384615,-70.8833333333333,NaN,-78.7575757575758,-71.7076923076923,-85.9761904761905,NaN,-94.5714285714286,NaN,NaN
-77.8387096774194,-85.4705882352941,-85.3636363636364,NaN,-85.3589743589744,-91.3,-94.8181818181818,-94.3636363636364,-70.6176470588235,NaN,-78.2647058823529,-71.9259259259259,-86.4193548387097,NaN,-94.3125,NaN,NaN
